工事名,開札日時,入札方式,参加数,決定金額,予定価格,最低制限価格,契約相手,工事種別,制限率
玉津処理場　受電室直流電源装置更新工事,2025/2/5,事後審査型制限付一般競争入札,19,46580000,48663000,46553300,メタウォーター（株）,電気専門,0.957
東灘処理場　分場３・４号送風機電気設備工事,2024/12/4,事後審査型制限付一般競争入札,1,244700000,244763000,234222600,三菱電機（株）,電気通信,0.957
湊川ポンプ場　１号雨水ポンプ電気設備工事,2023/10/13,事後審査型制限付一般競争入札,1,61800000,61841000,59192500,新電機工業（株）,電気専門,0.957
東灘処理場　調整池揚水流量計更新工事,2024/9/6,事後審査型制限付一般競争入札,5,26272000,27545000,26270000,メタウォーター（株）,電気専門,0.954
玉津処理場　太陽光発電設備改修工事,2023/9/8,事後審査型制限付一般競争入札,14,18615000,19492000,18597500,黒住電気工事（株）,電気一般,0.954
垂水処理場　本場３・４号送風機電気設備工事,2025/1/29,事後審査型制限付一般競争入札,1,88000000,88197000,83412400,新電機工業（株）,電気専門,0.946
マンホールポンプ施設電気設備工事,2023/6/7,事後審査型制限付一般競争入札,9,89880000,94837000,89626900,新電機工業（株）,電気専門,0.945
垂水処理場　分場１池初沈汚泥かき寄せ機機械設備工事,2025/2/5,事後審査型制限付一般競争入札,2,175000000,177381000,167467900,住友重機械エンバイロメント（株）,機械器具その他,0.944
東灘処理場　最初沈殿池５号汚泥かき寄せ機機械設備工事,2025/3/7,事後審査型制限付一般競争入札,1,188500000,188801000,178072800,住友重機械エンバイロメント（株）,機械器具その他,0.943
垂水処理場　本場２－２最終沈殿池汚泥かき寄せ機機械設備工事,2024/10/4,事後審査型制限付一般競争入札,1,143800000,152722000,143693600,（株）神鋼環境ソリューション,機械器具その他,0.941
垂水処理場　東系水処理１系ＤＯ計他更新工事,2023/8/4,事後審査型制限付一般競争入札,6,19080000,20268000,19060700,鹿島環境エンジニアリング（株）,電気専門,0.94
（仮称）新北区文化センター建設工事,2024/10/4,一般競争入札,2,3580000000,3712000000,3484688800,鴻池・岡特定建設工事共同企業体,建築一般,0.939
西部処理場　２系３・４号最終沈殿池汚泥かき寄せ機機械設備工事,2024/2/7,事後審査型制限付一般競争入札,1,139280000,148344000,139168500,（株）神鋼環境ソリューション,機械器具その他,0.938
灘区総合庁舎昇降機設備更新工事,2024/1/31,事後審査型制限付一般競争入札,2,171000000,177700000,166554700,日本オーチス・エレベータ（株）,昇降機,0.937
（仮称）新玉津住宅建設工事,2024/5/17,事後審査型制限付一般競争入札,3,1170000000,1209763000,1132024500,関西建設工業（株）,建築一般,0.936
西部処理場　１・２号消化汚泥引抜弁取替工事,2024/6/5,事後審査型制限付一般競争入札,3,5175000,5531000,5172100,（株）ニチジョー,機械器具その他,0.935
小野柄住宅外壁改修他工事,2023/12/1,事後審査型制限付一般競争入札,15,181000000,181500000,169710100,（株）ヒョウ工務店,建築一般,0.935
西部処理場　２系２号最初沈殿池汚泥かき寄せ機機械設備他工事,2025/1/29,事後審査型制限付一般競争入札,1,136900000,145651000,136023200,（株）神鋼環境ソリューション,機械器具その他,0.934
向洋南駐車場とりこわし及び敷地整備工事,2025/2/5,事後審査型制限付一般競争入札,61,674150000,740200000,690391400,（株）上田トランシットコンストラクション,解体,0.933
淡河排水管理施設ろ過設備新設機械工事,2024/3/1,事後審査型制限付一般競争入札,1,156000000,162389000,151538300,日立造船（株）,機械器具その他,0.933
南落合住宅１８６号棟外壁改修他工事,2023/12/6,事後審査型制限付一般競争入札,22,131197000,139600000,130266700,（株）トーホー・コンストラクション,建築一般,0.933
（仮称）神戸市歴史公文書館新築他工事,2023/11/1,事後審査型制限付一般競争入札,6,763000000,825200000,769927500,寄神建設（株）,建築一般,0.933
湊川中学校・楠高等学校大規模改修工事,2023/7/7,事後審査型制限付一般競争入札,12,198080000,207600000,193665300,（株）須貝工務店,建築一般,0.933
西部処理場北系水処理施設築造工事（建築機械設備）,2023/4/21,事後審査型制限付一般競争入札,4,212700000,227800000,212556000,（株）新和商会,管一般,0.933
（仮称）新北区文化センター建設昇降機設備工事,2025/3/7,事後審査型制限付一般競争入札,1,126100000,126100000,117575500,フジテック（株）,昇降機,0.932
千苅浄水場２系ろ過池更新工事,2024/12/4,事後審査型制限付一般競争入札,1,1010000000,1082939000,1009301300,横手産業（株）,機械器具その他,0.932
